Coo-case                                Vbox                Cobra               Leopard             BE                  
wat_dda_read_write_skew2_c1             False               False               True                False               
rat_sda_intermediate_read               False               True                False               False               
rat_dda_double_write_skew2              False               True                True                True                
iat_sda_lost_update_committed           False               True                True                True                
rat_dda_read_skew2                      False               False               True                False               
wat_dda_read_write_skew1_c2             False               False               True                False               
rat_sda_intermediate_read_committed     False               True                False               False               
iat_dda_read_skew_committed             False               False               True                False               
iat_dda_write_skew_committed            False               False               True                False               
wat_dda_read_write_skew2_committed      False               False               True                False               
rat_dda_double_write_skew1_committed    False               True                True                True                
wat_dda_read_write_skew1_c1             False               False               True                False               
iat_dda_read_write_skew1_committed      False               False               True                False               
wat_sda_lost_update_c1                  False               True                True                True                
wat_dda_double_write_skew2_committed_predFalse               True                True                True                
wat_dda_read_write_skew2_c2             False               False               True                False               
rat_sda_dirty_read                      False               False               False               True                
iat_sda_non_repeatable_read_committed   False               False               True                False               
rat_sda_non_repeatable_read             False               False               True                False               
wat_sda_lost_update_c2                  False               True                True                True                
rat_dda_double_write_skew1              False               True                True                True                
rat_dda_read_skew2_committed            False               False               True                False               
rat_dda_write_read_skew                 False               False               True                False               
iat_dda_read_skew_committed_pred        False               True                True                True                
rat_dda_read_skew                       False               False               True                False               
rat_dda_write_read_skew_committed       False               False               True                False               
rat_dda_double_write_skew1_committed_predFalse               True                True                True                
wat_dda_double_write_skew2_committed    False               True                True                True                
iat_dda_write_skew                      False               False               True                False               
----------------------------------------------------------------------------------------------------
rat                                     13                  7                   3                   8                   
wat                                     9                   5                   0                   5                   
iat                                     7                   5                   0                   5                   
