solver,blindw_pred_10000,blindw_wh_10000,blindw_wr_10000,blindw_rh_10000,ctwitter_10000,tpcc_10000
Vbox,3.7927539348602295 s,0.3109104633331299 s,0.3143153190612793 s,0.2749805450439453 s,0.21924352645874023 s,4.054737567901611 s
Cobra,0 s,195.124 s,20.807 s,11.075 s,6.956 s,6.729 s
Leopard,0 s,0.3446621894836426 s,0.2732410430908203 s,0.19536304473876953 s,0.4696199893951416 s,4.276324033737183 s
BE,0 s,600 s,600 s,600 s,600 s,600 s
Vbox,277.18359375 mb,47.40625 mb,44.32421875 mb,30.4140625 mb,29.78515625 mb,355.75390625 mb
Cobra,0 mb,1691.7421875 mb,1514.27734375 mb,1295.36328125 mb,1946.078125 mb,1727.125 mb
Leopard,0 mb,43.59765625 mb,35.63671875 mb,19.5 mb,21.27734375 mb,336.98828125 mb
BE,0 mb,1185.98046875 mb,1314.39453125 mb,1375.89453125 mb,796.87109375 mb,1481.8984375 mb
total constraint,35495,211566,98451,25908,530605,612565
vbox constraint,0,43,17,2,40,0
cobra constraint,0,17061,3829,437,1371,0
